6,186
6,156
6,109
6,143
6,133
6,134
6,81
6,55
6,89
6,162
6,56
6,4
6,29
6,129
6,183
6,43
6,206
6,166
6,190
6,110
6,52
6,210
6,15
6,3
6,57
6,17
6,38
6,127
6,145
6,12
6,179
6,67
6,121
6,5
6,99
6,44
6,41
6,192
6,90
6,59
6,154
6,66
6,152
6,211
6,168
4,31
4,86
4,72
4,44
4,146
4,167
4,175
4,77
4,207
4,218
4,200
4,119
4,199
4,158
14,41
14,57
14,96
14,83
14,17
14,40
14,204
14,178
14,18
14,151
14,100
14,112
14,203
14,121
14,165
14,192
14,58
14,0
14,72
14,110
14,172
14,160
14,174
14,117
14,70
14,131
14,116
14,24
14,73
14,55
41,43
11,193
11,123
11,120
11,177
11,80
11,140
11,113
11,39
11,153
11,93
11,138
11,162
11,96
11,101
11,205
11,0
11,181
11,197
11,95
11,67
11,210
11,136
11,164
11,159
11,183
11,103
11,209
11,29
11,214
11,38
11,20
11,217
11,176
11,106
11,47
11,122
11,35
11,168
11,198
11,86
11,185
11,102
11,188
11,92
11,77
193,50
8,16
8,135
8,110
8,153
8,203
8,154
8,32
8,20
8,98
8,138
8,131
8,142
8,165
8,28
8,156
8,164
8,108
8,129
16,27
156,13
156,154
156,151
156,155
156,169
156,7
159,177
159,13
177,50
109,108
109,110
47,49
49,67
49,219
49,144
49,29
49,0
49,101
86,73
72,45
143,142
143,149
143,141
143,21
120,126
120,7
120,119
120,118
117,144
144,2
144,48
187,189
187,13
189,190
189,188
45,208
45,75
45,105
45,192
208,210
50,60
50,127
50,38
50,128
50,90
50,220
60,65
60,61
57,54
1,73
1,19
1,87
73,19
48,67
48,130
48,184
48,70
48,161
48,75
48,5
67,65
19,33
19,180
19,170
19,131
19,74
33,36
113,111
113,13
27,9
27,15
133,136
22,132
22,93
22,129
22,174
22,142
22,106
20,21
20,17
20,18
21,55
21,61
21,165
21,54
21,213
21,71
21,196
13,183
13,141
13,150
13,122
146,149
51,53
51,52
154,160
154,158
154,155
7,12
7,55
7,63
7,5
7,106
7,142
7,93
12,30
81,82
169,171
169,172
169,170
171,172
171,173
55,56
197,218
197,199
197,191
218,199
39,43
167,157
83,84
89,90
127,121
180,182
203,205
151,155
155,164
40,43
29,2
190,194
194,2
211,212
130,126
210,209
126,119
95,98
175,174
174,172
206,192
0,87
119,118
3,219
219,5
84,85
63,64
63,62
168,179
