0,1
0,87
0,48
0,80
0,14
0,4
0,11
1,11
1,22
1,6
1,80
1,13
1,73
1,86
1,87
2,4
2,111
2,194
2,198
2,207
129,14
129,8
129,22
129,6
129,148
4,47
4,86
4,87
4,64
4,114
4,116
4,148
4,121
4,158
4,155
4,175
4,186
4,199
4,198
4,207
4,50
4,6
4,48
133,6
133,14
133,11
6,47
6,66
6,80
6,87
6,83
6,89
6,90
6,115
6,116
6,143
6,148
6,121
6,145
6,149
6,153
6,160
6,155
6,168
6,175
6,186
6,190
6,216
6,193
6,199
6,198
6,207
6,8
6,221
8,9
8,66
8,62
8,80
8,89
8,108
8,115
8,142
8,143
8,153
8,190
8,216
8,13
9,11
9,13
9,14
11,47
11,66
11,62
11,73
11,80
11,86
11,87
11,83
11,89
11,108
11,115
11,111
11,142
11,143
11,121
11,145
11,149
11,153
11,158
11,155
11,168
11,175
11,186
11,190
11,188
11,193
11,199
11,194
11,198
11,207
13,62
13,89
13,108
142,22
142,145
142,143
143,14
143,22
143,145
143,149
14,47
14,62
14,73
14,86
14,87
14,83
14,64
14,89
14,108
14,115
14,111
14,116
14,121
14,145
14,149
14,153
14,158
14,160
14,168
14,175
14,186
14,190
14,188
14,193
14,199
14,194
14,198
145,45
149,48
22,80
22,216
153,155
155,48
155,45
158,160
160,48
168,50
168,45
45,87
45,83
45,64
45,111
45,188
45,207
47,48
48,111
48,114
48,116
48,121
48,186
48,194
48,198
48,207
50,87
50,64
50,90
50,121
50,188
50,193
50,220
188,190
190,193
190,194
190,198
62,64
62,73
64,73
193,198
194,198
73,86
80,87
89,90
220,221
108,111
111,114
114,116
115,116
