0,F2M32
1,F2F30
2,Brother
3,Class
4,Male
5,Child
6,Person
7,Daughter
8,Female
9,F10F172
10,F10M173
11,Thing
12,F10F186
13,Grandmother
14,NamedIndividual
15,F10M171
16,F10F179
17,F10F174
18,F10F177
19,Mother
20,F10F175
21,Sister
22,Granddaughter
23,F10M176
24,F10M178
25,F10M180
26,F10F181
27,F10F195
28,F10F185
29,F10M184
30,F10F192
31,F10M187
32,F10F193
33,F10F189
34,F10M190
35,F10F191
36,F10M188
37,F10M194
38,F10M196
39,F10M197
40,F10F198
41,F10M199
42,F10F200
43,F10F201
44,F10M202
45,Father
46,F10M182
47,F10M183
48,Son
49,Grandson
50,Grandfather
51,F1F2
52,F1F3
53,F1M1
54,F1F7
55,F1F5
56,F1M6
57,F1M4
58,F1M8
59,F2F10
60,F2M11
61,F2F36
62,F2F19
63,F2F26
64,F2M9
65,F2F12
66,F2F15
67,F2M13
68,F2F14
69,F2M16
70,F2M18
71,F2F17
72,F2M20
73,F2F28
74,F2F22
75,F2M21
76,F2F24
77,F2M25
78,F2M23
79,F2M27
80,F2F33
81,F2M35
82,F2M34
83,F2M37
84,F2F38
85,F2M39
86,F2M29
87,F2M31
88,F3F41
89,F3F42
90,F3M40
91,F3M43
92,F3M44
93,F3F53
94,F3F46
95,F3M47
96,F3M45
97,F3F48
98,F3F52
99,F3F49
100,F3M50
101,F3M51
102,F4F55
103,F4M54
104,F4F56
105,F4M57
106,F4F58
107,F4M59
108,F5F61
109,F5M60
110,F5F62
111,F5M64
112,F5M63
113,F5F65
114,F5M66
115,F5F67
116,F5M68
117,F6F101
118,F6F70
119,F6M71
120,F6F84
121,F6M92
122,F6F72
123,F6M73
124,F6F74
125,F6F76
126,F6F77
127,F6M69
128,F6M78
129,F6F79
130,F6M81
131,F6F82
132,F6F83
133,F6F87
134,F6M85
135,F6F86
136,F6M90
137,F6M88
138,F6F89
139,F6F91
140,F6F93
141,F6F94
142,F6F96
143,F6F97
144,F6M100
145,F6M95
146,F6M98
147,F6M75
148,F6M80
149,F6M99
150,F7F103
151,F7M104
152,F7M102
153,F7F105
154,F7F106
155,F7M115
156,F7F121
157,F7F119
158,F7M107
159,F7F108
160,F7M113
161,F7M110
162,F7F111
163,F7F114
164,F7F116
165,F7F118
166,F7M117
167,F7M120
168,F7M122
169,F7M123
170,F7F124
171,F7M125
172,F7F127
173,F7F126
174,F7F129
175,F7M128
176,F7M130
177,F7M109
178,F7M112
179,F7M131
180,F8F133
181,F8M134
182,F8M132
183,F8F135
184,F8M136
185,F8F137
186,F8M138
187,F9F140
188,F9M139
189,F9M167
190,F9F141
191,F9F143
192,F9M157
193,F9M142
194,F9M151
195,F9F150
196,F9F148
197,F9F145
198,F9M153
199,F9M147
200,F9M144
201,F9M149
202,F9F152
203,F9F154
204,F9F156
205,F9M155
206,F9F158
207,F9M162
208,F9M159
209,F9F160
210,F9M161
211,F9F163
212,F9M166
213,F9F164
214,F9M165
215,F9F168
216,F9F169
217,F9M170
218,F9M146
219,Grandchild
220,Grandparent
221,Parent
222,PersonWithASibling
