F2M32,0
F2F30,1
Brother,2
Class,3
Male,4
Child,5
Person,6
Daughter,7
Female,8
F10F172,9
F10M173,10
F10F186,11
Grandmother,12
NamedIndividual,13
F10M171,14
F10F179,15
F10F174,16
F10F177,17
Mother,18
F10F175,19
Sister,20
Granddaughter,21
F10M176,22
F10M178,23
F10M180,24
F10F181,25
F10F195,26
F10F185,27
F10M184,28
F10F192,29
F10M187,30
F10F193,31
F10F189,32
F10M190,33
F10F191,34
F10M188,35
F10M194,36
F10M196,37
F10M197,38
F10F198,39
F10M199,40
F10F200,41
F10F201,42
F10M202,43
Father,44
F10M182,45
F10M183,46
Son,47
Grandson,48
Grandfather,49
F1F2,50
F1F3,51
F1M1,52
F1F7,53
F1F5,54
F1M6,55
F1M4,56
F1M8,57
F2F10,58
F2M11,59
F2F36,60
F2F19,61
F2F26,62
F2M9,63
F2F12,64
F2F15,65
F2M13,66
F2F14,67
F2M16,68
F2M18,69
F2F17,70
F2M20,71
F2F28,72
F2F22,73
F2M21,74
F2F24,75
F2M25,76
F2M23,77
F2M27,78
F2F33,79
F2M35,80
F2M34,81
F2M37,82
F2F38,83
F2M39,84
F2M29,85
F2M31,86
F3F41,87
F3F42,88
F3M40,89
F3M43,90
F3M44,91
F3F53,92
F3F46,93
F3M47,94
F3M45,95
F3F48,96
F3F52,97
F3F49,98
F3M50,99
F3M51,100
F4F55,101
F4M54,102
F4F56,103
F4M57,104
F4F58,105
F4M59,106
F5F61,107
F5M60,108
F5F62,109
F5M64,110
F5M63,111
F5F65,112
F5M66,113
F5F67,114
F5M68,115
F6F101,116
F6F70,117
F6M71,118
F6F84,119
F6M92,120
F6F72,121
F6M73,122
F6F74,123
F6F76,124
F6F77,125
F6M69,126
F6M78,127
F6F79,128
F6M81,129
F6F82,130
F6F83,131
F6F87,132
F6M85,133
F6F86,134
F6M90,135
F6M88,136
F6F89,137
F6F91,138
F6F93,139
F6F94,140
F6F96,141
F6F97,142
F6M100,143
F6M95,144
F6M98,145
F6M75,146
F6M80,147
F6M99,148
F7F103,149
F7M104,150
F7M102,151
F7F105,152
F7F106,153
F7M115,154
F7F121,155
F7F119,156
F7M107,157
F7F108,158
F7M113,159
F7M110,160
F7F111,161
F7F114,162
F7F116,163
F7F118,164
F7M117,165
F7M120,166
F7M122,167
F7M123,168
F7F124,169
F7M125,170
F7F127,171
F7F126,172
F7F129,173
F7M128,174
F7M130,175
F7M109,176
F7M112,177
F7M131,178
F8F133,179
F8M134,180
F8M132,181
F8F135,182
F8M136,183
F8F137,184
F8M138,185
F9F140,186
F9M139,187
F9M167,188
F9F141,189
F9F143,190
F9M157,191
F9M142,192
F9M151,193
F9F150,194
F9F148,195
F9F145,196
F9M153,197
F9M147,198
F9M144,199
F9M149,200
F9F152,201
F9F154,202
F9F156,203
F9M155,204
F9F158,205
F9M162,206
F9M159,207
F9F160,208
F9M161,209
F9F163,210
F9M166,211
F9F164,212
F9M165,213
F9F168,214
F9F169,215
F9M170,216
F9M146,217
Grandchild,218
Grandparent,219
Parent,220
PersonWithASibling,221
